id	next	previous	captioning	pos	angle	audio	launchAngle
1	2	-1		1.17485,8.058022,-15.74025	0.0483874,0,0.9988286		3.299983
2	3	1		2.205395,6.793234,5.532613	-0.03797935,0,0.9992785		10.49998
3	4	2		26.1649,6.822904,6.443233	-0.03013042,0,0.999546		10.04999
4	5	3		41.94691,6.753902,13.11448	0.8233662,0,0.5675104		11.54999
5	6	4		75.99913,7.862275,59.32515	0.06413059,0,-0.9979415		4.049988
6	7	5		94.6646,7.440557,74.11012	-0.1421598,0,-0.9898438		5.849988
7	8	6		60.75785,8.604461,106.4213	-0.6893173,0,0.7244595		1.349992
8	9	7		18.65996,9.08834,95.46989	-0.0980351,0,0.9951829		-0.3000183
9	10	8		-24.70049,10.94115,102.8438	0.3497828,0,0.9368308		-7.950012
10	11	9		-83.77454,11.19772,145.6695	0.850573,0,0.525857		-10.35001
11	12	10		-88.0403,11.25,237.3863	0.9621044,0,-0.272682		-13.95001
12	13	11		-59.58061,10.96312,279.799	0.5718023,0,-0.8203914		-8.100006
13	14	12		20.07982,10.59099,300.4196	-0.08235437,0,-0.9966033		-6
14	15	13		57.15883,10.73927,282.2237	-0.5391265,0,-0.8422248		-6.75
15	16	14		103.2904,10.87081,240.2721	-0.9613798,0,-0.2752259		-7.5
16	17	15		42.34208,6.765596,184.199	0.9999923,0,0		11.09999
17	18	16		46.95224,7.05885,161.4729	0.9999785,0,0		7.949992
18	19	17		55.51998,6.802278,103.8463	0.4783054,0,0.8781936		10.34999
19	20	18		110.7325,7.105014,117.8103	-0.6504462,0,0.7595523		7.649989
20	21	19		104.0385,7.036887,147.7674	-0.9999993,0,0		8.099987
21	22	20		97.26185,6.75,149.806	-0.9970188,0,0.07715887		25.34998
22	23	21		107.1944,7.05885,162.8115	-0.9984161,0,0.05626124		7.949986
23	24	22		103.9209,7.01568,163.392	0,0,0.9999787		8.249983
24	25	23		121.9052,7.01568,163.2746	0,0,0.9999787		8.249983
25	26	24		123.3984,7.378084,163.4469	0.9999787,0,0		6.149981
26	27	25		123.2333,7.378084,138.1354	0.9999787,0,0		6.149981
27	28	26		87.30078,7.409015,117.5439	0.9932249,0,-0.1162078		5.999981
28	29	27		95.85876,8.431901,69.97464	0.9993765,0,-0.03530598		1.949979
29	30	28		49.02379,8.018085,47.92446	0.8128253,0,0.5825075		3.449979
30	31	29		-12.97975,10.0994,97.25691	-0.01967871,0,0.9998063		-3.900024
31	32	30		-65.91525,10.59099,131.5322	0.7042949,0,0.7099075		-6.000031
32	33	31		-19.52175,8.561052,100.0178	-0.6180979,0,0.7861011		1.499982
33	34	32		-54.17554,6.756937,108.5876	-0.9916206,0,0.1291845		11.39998
34	35	33		-57.42294,6.921274,139.0921	-0.9999301,0,-0.01182401		8.999982
35	36	34		-57.6356,6.921274,157.076	-0.9999301,0,-0.01182401		8.999982
36	37	35		-75.06586,6.874188,211.1026	-0.2346783,0,-0.9720731		9.449986
37	38	36		-131.7778,7.01568,191.6333	0.565363,0,-0.8248423		8.249988
38	39	37		-116.8594,7.1541,148.621	0.9997513,0,0.02230078		7.349986
39	40	38		-116.2652,7.1541,121.9825	0.9997513,0,0.02230078		7.349986
40	41	39		-122.4547,6.753902,111.7214	0.4691291,0,-0.8831297		11.54998
41	42	40		-88.88515,8.51781,81.25345	0,0,-0.9999585		1.649983
42	43	41		-119.5178,8.648027,56.84994	-0.9995484,0,0.03005081		1.199983
43	44	42		-121.4614,8.648027,80.89463	-0.9995484,0,0.03005081		1.199983
44	45	43		-123.6576,8.779467,112.2541	-0.9999574,0,0		0.749983
45	46	44		-122.7633,8.691728,152.6088	-0.9992817,0,0.03789878		1.049983
46	47	45		-121.6777,8.691728,181.2316	-0.9995453,0,-0.03015506		1.049983
47	48	46		-123.0103,8.735546,203.2343	-0.9999991,0,0		0.899983
48	49	47		-90.64088,7.749972,228.3833	-0.6282672,0,-0.7779979		4.499983
49	50	48		-88.45073,8.95583,83.73973	0,0,-0.9999788		0.1499818
50	51	49		1.274108,9.438962,60.07821	-0.8020616,0,0.5972413		-1.500031
51	52	50		-48.95302,10.73928,154.7502	0.1680181,0,0.9857839		-6.750031
52	53	51		-82.13866,10.06065,226.8358	0.9985625,0,-0.05360043		-3.750031
53	54	52		-71.70564,10.65223,265.4312	0.6931213,0,-0.720821		-6.300018
54	55	53		-67.36494,8.474753,270.547	0.7909275,0,0.6119098		1.799982
55	56	54		-63.21218,6.77122,275.7609	0,0,0.9999783		10.94998
56	57	55		-38.01562,7.206032,285.9095	0.01173886,0,0.9999311		7.049983
57	58	56		-69.33025,9.132463,238.3508	-0.9359206,0,0.3522111		-0.4500122
58	59	57		-123.4083,8.474754,253.8772	-0.999548,0,0.03006542		1.799978
59	60	58		-123.054,8.691729,288.502	-0.9999925,0,0		1.049977
60	61	59		-122.9607,8.691729,312.4785	-0.9999925,0,0		1.049977
61	62	60		-122.8571,8.691729,339.119	-0.9999925,0,0		1.049977
62	63	61		-122.7975,8.691729,354.4388	-0.9999925,0,0		1.049977
63	64	62		-115.9631,8.648029,368.8322	0.01174839,0,0.999931		1.199977
64	65	63		-107.5773,8.604465,335.5986	0.3052465,0,0.9522734		1.349977
65	66	64		-52.05157,7.607045,332.4306	0,0,0.9999921		5.099978
66	67	65		-52.00142,7.607045,319.7873	0,0,0.9999921		5.099978
67	68	66		-146.0519,8.179949,345.6896	0.922384,0,-0.3862748		2.849977
68	69	67		-22.97665,11.07873,282.9473	0.2194557,0,-0.9756225		-9.000031
69	70	68		24.85646,11.25,280.3082	-0.4782775,0,-0.8782089		-16.05002
70	71	69		68.57552,10.84591,280.0891	-0.7244464,0,-0.6893312		-7.350037
71	72	70		108.8313,9.308283,242.392	-0.8880325,0,0.4597807		-1.050018
72	73	71		55.62,6.75,272.5958	-0.3102902,0,0.9506419		14.84998
73	74	72		33.15318,6.751735,278.7177	0.02223599,0,0.9997528		11.69998
74	75	73		59.90485,7.289091,284.1146	0,0,0.9999787		6.599981
75	76	74		114.2411,8.304718,281.8643	-0.4411319,0,0.8974423		2.399979
76	77	75		95.6229,8.867547,332.6208	-0.5993896,0,0.8004575		0.4499786
77	78	76		24.13451,7.978528,357.5206	-0.0405829,0,0.9991762		3.599981
78	79	77		19.60047,8.691729,372.2123	0,0,0.9999992		1.04998
79	80	78		46.24409,8.691729,372.1781	0,0,0.9999992		1.04998
80	81	79		70.88692,8.691729,372.1464	0,0,0.9999992		1.04998
